row,type
800,2
801,3
802,1
803,7
804,2
805,6
806,11
807,0
808,17
809,3
810,2
811,13
812,2
813,13
814,12
815,3
816,12
817,3
818,3
819,0
820,16
821,8
822,3
823,14
824,11
825,17
826,3
827,2
828,2
829,3
830,3
831,3
832,7
833,3
834,3
835,11
836,3
837,3
838,3
839,3
840,0
841,17
842,7
843,3
844,10
845,14
846,7
847,11
848,5
849,6
850,2
851,17
852,17
853,14
854,3
855,1
856,6
857,1
858,7
859,3
860,8
861,3
862,1
863,2
864,8
865,10
866,17
867,1
868,1
869,7
870,0
871,14
872,3
873,17
874,7
875,6
876,3
877,2
878,7
879,0
880,3
881,17
882,8
883,0
884,2
885,0
886,3
887,3
888,3
889,0
890,8
891,2
892,6
893,3
894,10
895,1
896,10
897,3
898,6
899,2
900,2
901,17
902,3
903,7
904,3
905,17
906,3
907,0
908,3
909,3
910,3
911,17
912,3
913,3
914,13
915,17
916,3
917,3
918,6
919,3
920,3
921,10
922,2
923,7
924,3
925,1
926,8
927,0
928,13
929,6
930,7
931,1
932,3
933,6
934,3
935,1
936,1
937,17
938,3
939,17
940,3
941,10
942,17
943,3
944,2
945,1
946,17
947,3
948,6
949,3
950,3
951,1
952,13
953,3
954,6
955,2
956,1
957,1
958,3
959,3
960,3
961,17
962,3
963,2
964,3
965,3
966,1
967,2
968,6
969,3
970,3
971,6
972,17
973,2
974,1
975,3
976,17
977,2
978,3
979,1
980,3
981,3
982,3
983,6
984,2
985,6
986,1
987,1
988,3
989,3
990,6
991,3
992,1
993,1
994,1
995,3
996,2
997,3
998,6
999,2
1000,17
