row,type
799,0
800,8
801,10
802,15
803,10
804,10
805,7
806,4
807,8
808,3
809,0
810,8
811,11
812,8
813,14
814,3
815,8
816,8
817,8
818,8
819,4
820,3
821,8
822,7
823,11
824,8
825,3
826,14
827,11
828,3
829,15
830,3
831,4
832,14
833,4
834,7
835,14
836,0
837,7
838,14
839,6
840,7
841,14
842,8
843,0
844,6
845,11
846,6
847,8
848,7
849,12
850,15
851,11
852,7
853,12
854,0
855,15
856,7
857,3
858,15
859,15
860,7
861,7
862,14
863,6
864,12
865,11
866,6
867,14
868,15
869,0
870,14
871,7
872,6
873,14
874,8
875,14
876,9
877,14
878,3
879,12
880,8
881,8
882,7
883,15
884,14
885,0
886,14
887,0
888,11
889,7
890,2
891,8
892,7
893,2
894,9
895,14
896,4
897,8
898,7
899,3
900,6
901,3
902,14
903,8
904,9
905,2
906,7
907,14
908,7
909,15
910,6
911,9
912,6
913,14
914,12
915,12
916,6
917,8
918,2
919,6
920,12
921,2
922,7
923,7
924,2
925,14
926,6
927,6
928,7
929,8
930,7
931,8
932,9
933,2
934,6
935,2
936,12
937,0
938,12
939,7
940,2
941,7
942,7
943,6
944,6
945,9
946,0
947,2
948,0
949,9
950,12
951,14
952,12
953,9
954,12
955,9
956,2
957,12
958,2
959,14
960,0
961,12
962,12
963,2
964,0
965,2
966,7
967,2
968,7
969,8
970,2
971,2
972,12
973,9
974,0
975,14
976,12
977,12
978,0
979,9
980,12
981,7
982,0
983,14
984,0
985,12
986,0
987,0
988,0
989,9
990,12
991,14
992,2
993,9
994,9
995,14
996,9
997,12
998,6
999,14
