row,type
800,9
801,1
802,13
803,16
804,10
805,3
806,4
807,0
808,4
809,4
810,1
811,11
812,13
813,5
814,11
815,17
816,5
817,0
818,1
819,2
820,7
821,5
822,7
823,14
824,3
825,11
826,1
827,2
828,1
829,3
830,4
831,3
832,13
833,1
834,2
835,12
836,9
837,6
838,4
839,3
840,1
841,17
842,5
843,4
844,1
845,1
846,1
847,6
848,12
849,4
850,12
851,10
852,10
853,14
854,9
855,7
856,11
857,6
858,13
859,10
860,5
861,3
862,1
863,4
864,4
865,1
866,0
867,4
868,2
869,4
870,5
871,3
872,3
873,7
874,5
875,4
876,3
877,7
878,4
879,1
880,7
881,0
882,6
883,5
884,3
885,0
886,4
887,4
888,4
889,3
890,3
891,10
892,5
893,1
894,14
895,7
896,5
897,13
898,5
899,9
900,3
901,14
902,14
903,10
904,10
905,3
906,2
907,13
908,11
909,3
910,5
911,4
912,4
913,5
914,4
915,13
916,2
917,5
918,3
919,13
920,4
921,5
922,10
923,5
924,2
925,3
926,5
927,3
928,10
929,2
930,14
931,5
932,14
933,3
934,13
935,14
936,11
937,11
938,14
939,2
940,5
941,2
942,4
943,14
944,2
945,11
946,5
947,14
948,11
949,4
950,2
951,14
952,13
953,13
954,11
955,5
956,13
957,14
958,2
959,3
960,2
961,5
962,4
963,5
964,5
965,4
966,4
967,4
968,5
969,5
970,13
971,5
972,13
973,4
974,5
975,13
976,4
977,10
978,10
979,10
980,14
981,10
982,10
983,3
984,5
985,14
986,4
987,11
988,13
989,5
990,10
991,4
992,5
993,5
994,13
995,5
996,13
997,14
998,3
999,13
1000,5
