row,type
800,5
801,11
802,11
803,15
804,12
805,13
806,12
807,6
808,15
809,3
810,15
811,3
812,15
813,15
814,13
815,13
816,11
817,6
818,16
819,12
820,8
821,3
822,8
823,15
824,0
825,6
826,5
827,15
828,17
829,12
830,17
831,13
832,5
833,17
834,11
835,12
836,2
837,11
838,0
839,16
840,8
841,13
842,15
843,2
844,15
845,8
846,11
847,0
848,2
849,12
850,5
851,16
852,13
853,16
854,8
855,8
856,6
857,11
858,11
859,8
860,2
861,13
862,13
863,10
864,0
865,15
866,15
867,5
868,6
869,13
870,11
871,0
872,11
873,11
874,2
875,11
876,3
877,10
878,6
879,12
880,17
881,11
882,11
883,17
884,11
885,3
886,8
887,15
888,10
889,3
890,3
891,17
892,8
893,5
894,8
895,2
896,15
897,15
898,10
899,10
900,11
901,11
902,3
903,11
904,11
905,16
906,13
907,15
908,5
909,6
910,2
911,16
912,5
913,5
914,15
915,2
916,6
917,11
918,15
919,13
920,3
921,11
922,3
923,6
924,16
925,15
926,15
927,15
928,11
929,13
930,15
931,8
932,11
933,15
934,8
935,0
936,11
937,11
938,15
939,5
940,11
941,3
942,11
943,11
944,11
945,3
946,11
947,3
948,13
949,15
950,12
951,11
952,11
953,11
954,5
955,5
956,11
957,8
958,15
959,13
960,11
961,3
962,3
963,8
964,11
965,3
966,5
967,11
968,11
969,11
970,11
971,13
972,3
973,13
974,15
975,5
976,16
977,3
978,5
979,11
980,8
981,11
982,11
983,11
984,3
985,13
986,5
987,3
988,3
989,3
990,16
991,15
992,3
993,11
994,3
995,3
996,3
997,11
998,11
999,8
1000,16
