row,type
800,2
801,4
802,2
803,3
804,2
805,2
806,1
807,8
808,1
809,7
810,2
811,2
812,2
813,2
814,6
815,4
816,6
817,4
818,7
819,8
820,11
821,2
822,4
823,10
824,1
825,1
826,4
827,2
828,2
829,4
830,4
831,4
832,3
833,4
834,7
835,1
836,7
837,7
838,4
839,7
840,8
841,1
842,3
843,4
844,5
845,10
846,3
847,1
848,11
849,2
850,2
851,1
852,1
853,10
854,4
855,2
856,2
857,2
858,3
859,4
860,2
861,4
862,2
863,2
864,2
865,5
866,1
867,2
868,2
869,3
870,8
871,10
872,4
873,1
874,3
875,2
876,4
877,2
878,3
879,8
880,7
881,1
882,2
883,8
884,2
885,8
886,4
887,4
888,7
889,8
890,2
891,2
892,2
893,7
894,5
895,2
896,5
897,4
898,2
899,2
900,2
901,1
902,4
903,3
904,7
905,1
906,4
907,8
908,4
909,4
910,4
911,1
912,4
913,7
914,2
915,1
916,4
917,4
918,2
919,4
920,4
921,5
922,2
923,3
924,4
925,2
926,2
927,8
928,2
929,2
930,3
931,2
932,4
933,2
934,7
935,2
936,2
937,1
938,4
939,1
940,4
941,5
942,1
943,4
944,2
945,2
946,1
947,4
948,2
949,4
950,4
951,2
952,2
953,4
954,2
955,2
956,2
957,2
958,4
959,4
960,7
961,1
962,4
963,2
964,4
965,7
966,2
967,2
968,2
969,4
970,4
971,2
972,1
973,2
974,2
975,4
976,1
977,2
978,4
979,2
980,4
981,4
982,4
983,2
984,2
985,2
986,2
987,2
988,7
989,4
990,2
991,7
992,2
993,2
994,2
995,4
996,2
997,4
998,2
999,2
1000,1
