row,type
800,11
801,13
802,3
803,16
804,2
805,3
806,4
807,5
808,6
809,17
810,2
811,11
812,2
813,11
814,9
815,13
816,9
817,13
818,17
819,5
820,1
821,3
822,7
823,15
824,4
825,6
826,7
827,2
828,11
829,13
830,7
831,13
832,16
833,13
834,17
835,4
836,17
837,17
838,13
839,17
840,5
841,6
842,16
843,13
844,12
845,15
846,16
847,4
848,1
849,3
850,2
851,8
852,8
853,15
854,7
855,14
856,2
857,14
858,16
859,13
860,3
861,7
862,14
863,2
864,3
865,12
866,0
867,14
868,14
869,16
870,5
871,15
872,7
873,6
874,16
875,3
876,13
877,2
878,16
879,5
880,17
881,8
882,3
883,5
884,11
885,5
886,7
887,13
888,17
889,5
890,3
891,11
892,2
893,17
894,12
895,14
896,12
897,7
898,2
899,2
900,2
901,8
902,7
903,16
904,17
905,6
906,7
907,5
908,13
909,13
910,13
911,6
912,13
913,17
914,14
915,6
916,13
917,7
918,2
919,7
920,7
921,12
922,11
923,16
924,13
925,14
926,3
927,5
928,14
929,11
930,16
931,14
932,13
933,2
934,17
935,3
936,14
937,6
938,7
939,6
940,13
941,12
942,6
943,13
944,11
945,14
946,6
947,7
948,3
949,13
950,7
951,14
952,14
953,7
954,3
955,2
956,14
957,14
958,13
959,7
960,17
961,6
962,7
963,2
964,7
965,17
966,14
967,2
968,3
969,7
970,7
971,3
972,6
973,2
974,14
975,7
976,6
977,2
978,13
979,3
980,13
981,7
982,13
983,3
984,11
985,3
986,14
987,14
988,17
989,7
990,3
991,17
992,14
993,14
994,14
995,7
996,11
997,13
998,3
999,2
1000,6
